Token,Lemma
Knistert's,Knistert's
im,in
Eutentebau,Eutentebau
?,--
 , 
Sin,Sin
88,88
1:4,1:4
8,8
Z,Z
E,E
x,x
 , 
Blättern,Blatt
von,von
einer,ein
der,der
Entente,Entente
sehr,sehr
nahestehen,nahestehen
»,--
den,der
Seite,Seite
die,der
Mitteilung,Mitteilung
zugegangen,zugehen
",",--
daß,daß
Eng-,Eng-
land,Land
",",--
Frankreich,Frankreich
und,und
Ztalien,Ztalie
von,von
ernstem,ernst
Wil-,Wil
len,len
getragen,tragen
seien,sein
",",--
den,der
fünften,fünfter
Kriegs,Krieg
»,--
winter,Winter
zu,zu
vermeiden,vermeiden
und,und
wo,wo
möglich,möglich
 , 
nu,nu
ju,ju
ie,ie
in,in
Fades,Fades
 , 
it,--
 , 
1,1
:,--
Ee,ee
EEE,EEE
1,1
 , 
IZ,IZ
177,177
 , 
aI,aI
 , 
Hen,Hen
vielmehr,vielmehr
würde,werden
ein,ein
hoher,hoch
englischer,englisch
Zolltgeif,Zolltgeif
den,der
olikriea,olikriea
auf,auf
beiden,beide
Geiten,Geit
des,der
 , 
ftellbares,ftellbar
Ende,Ende
hen,hen
ur,Ur
diploma,Diploma
»,--
 , 
deans,deans
bedeuten,bedeuten
",",--
wes,wes
ein,ein
ganz,ganz
unvor-,unvor
|-,|-
misitävige,misitävig
 , 
monatii,monatii
Adonnements-,Adonnement
und,und
Anzeigen-Annahme,Anzeigen-Annahm
im,in
Haus,Haus
",",--
Verlin,Verlin
:,--
a,a
R,R
GEE,GEE
REN,REN
EE,EE
SERER,SERER
Di,Di
;,--
bam,bam
Reklamezeile,Reklamezeil
15,15
GESET,GESET
EIGEN,EIGEN
H,H
Vs,Vs
Kie,Kie
morte,moren
50,50
&,&
!,--
.,--
Zenerungszusclag,Zenerungszusclag
49,49
%,%
s.,s.
Seine,sein
Ber--,Ber--
TEZie,TEZie
 , 
Fortdauer,Fortdauer
des,der
feindlichen,feindlich
Ansturms,Ansturm
.,--
 , 
(,--
Amtlih,Amtlih
.,--
),--
Berlin,Berlin
",",--
2.,2.
September,September
",",--
obends,obends
.,--
 , 
Englische,englisch
Angriffe,Angriff
zwischen,zwischen
Scarpe,Scarpe
und,und
Somme,Somm
.,--
Südöstlich,Südöstlich
von,von
Arras,Arras
und,und
nördlich,nördlich
von,von
Peronnue,Peronnue
gewannen,gewinnen
sie,sie
Bo-,Bo-
denz,denz
Neserven,Neserven
fingen,fangen
den,der
Stoß,Stoß
auf,auf
.,--
Beiderseits,Beiderseits
von,von
Bapaume,Bapaume
wurde,werden
der,der
Feind,Feind
abgewiesen,abweisen
.,--
 , 
Zwischen,zwischen
Oise,Oise
und,und
Aisne,Aisne
haben,haben
sich,sich
am,an
Nachmittage,Nachmittag
nach,nach
ftärkftem,ftärkft
Feuer-,Feuer
kampf,Kampf
französische,französisch
Angriffe,Angriff
entwiekelt,entwiekeln
.,--
 , 
*,*
 , 
(,--
Amilich,Amilich
.,--
),--
Großes,groß
Hauptquartier,Hauptquartier
",",--
2.,2.
September,September
.,--
Westlicher,Westlicher
Kriegsschauplat,Kriegsschauplat
.,--
Heeresgruppen,Heeresgruppe
Kronprinz,Kronprinz
Ruppreet,Ruppreet
und,und
Boehn,Boehn
.,--
Vorfeldkämpfe,Vorfeldkämpfe
der,der
298.,298.
Zwischen,zwischen
Scarpe,Scarpe
und,und
Somme,Somm
sehte,sehen
der,der
Engländer,Engländer
auf,auf
der,der
45,45
Kilometer,Kilometer
breiten,breit
Front,Front
seine,sein
Angriffe,Angriff
fort,fort
",",--
Artillerie-,Artillerie-
wirkung,Wirkung
gegen,gegen
die,der
Bereitstellungsräume,Bereitstellungsraum
des,der
Gegners,Gegner
südbftlich,südbftlich
von,von
Arras,Arras
und,und
beiderseits,Beiderseits
von,von
Bapaume,Bapaume
trug,tragen
wesent-,wesent-
 , 
eourt,Eourt
und,und
der,der
nördlich,nördlich
von,von
Hendecoaxt,Hendecoaxt
auf,auf
Cagui-,Cagui
eourt,eourt
Boden,Boden
gewann,gewinnen
",",--
wurde,werden
durch,durch
Ge-,Ge
genangriff,Genangriff
wieder,wieder
auf,auf
Hendecourt,Hendecourt
zu-,zu
rüd&geworfen,rüd&geworfen
.,--
Um,um
Noreuil,Noreuil
wurde,werden
lange,lange
gefämpft,fämpfen
;,--
08,08
blieb,bleiben
in,in
unferem,unfer
VBesit,VBesit
.,--
WVeiderseits,wVeiderseits
von,von
Vaulx-Vruueourt,Vaulx-Vruueourt
vote,vot
brechende,brechend
Panzerwagenangriffe,Panzerwagenangriff
sccheiter-,sccheiter
ten,ten
.,--
Hierbei,hierbei
schoß,schoßn
die,der
Besaguug,Besaguug
eines,ein
Flugzeuges,Flugzeug
der,der
Fliegerabteilung,Fliegerabteilung
2s2,2s2
=,=
=,=
Leutnant,Leutnant
Schwertfeger,Schwertfeger
und,und
Vizefeld-,Vizefeld
webel,webel
Günter,Günter
=,=
-,--
einen,ein
Panzerwagen,Panzerwagen
mit,mit
dem,der
Maschinengewehr,Maschinengewehr
in,in
Brand,Brand
und,und
zerflörte,zerflören
einen,ein
